scenario,seed,path,T,N,F,train_windows,val_windows,test_windows,start,end
B_strong_spatial,0,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__B_strong_spatial__seed0.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
B_strong_spatial,1,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__B_strong_spatial__seed1.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
B_strong_spatial,2,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__B_strong_spatial__seed2.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
B_strong_spatial,3,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__B_strong_spatial__seed3.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
B_strong_spatial,4,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__B_strong_spatial__seed4.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
B_strong_spatial,5,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__B_strong_spatial__seed5.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
B_strong_spatial,6,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__B_strong_spatial__seed6.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
B_strong_spatial,7,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__B_strong_spatial__seed7.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
B_strong_spatial,8,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__B_strong_spatial__seed8.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
B_strong_spatial,9,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__B_strong_spatial__seed9.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
C_weak_spatial,0,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__C_weak_spatial__seed0.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
C_weak_spatial,1,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__C_weak_spatial__seed1.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
C_weak_spatial,2,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__C_weak_spatial__seed2.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
C_weak_spatial,3,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__C_weak_spatial__seed3.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
C_weak_spatial,4,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__C_weak_spatial__seed4.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
C_weak_spatial,5,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__C_weak_spatial__seed5.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
C_weak_spatial,6,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__C_weak_spatial__seed6.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
C_weak_spatial,7,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__C_weak_spatial__seed7.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
C_weak_spatial,8,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__C_weak_spatial__seed8.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
C_weak_spatial,9,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__C_weak_spatial__seed9.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
D_regime_incidents,0,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__D_regime_incidents__seed0.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
D_regime_incidents,1,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__D_regime_incidents__seed1.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
D_regime_incidents,2,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__D_regime_incidents__seed2.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
D_regime_incidents,3,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__D_regime_incidents__seed3.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
D_regime_incidents,4,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__D_regime_incidents__seed4.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
D_regime_incidents,5,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__D_regime_incidents__seed5.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
D_regime_incidents,6,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__D_regime_incidents__seed6.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
D_regime_incidents,7,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__D_regime_incidents__seed7.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
D_regime_incidents,8,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__D_regime_incidents__seed8.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
D_regime_incidents,9,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__D_regime_incidents__seed9.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
E_high_missingness,0,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__E_high_missingness__seed0.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
E_high_missingness,1,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__E_high_missingness__seed1.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
E_high_missingness,2,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__E_high_missingness__seed2.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
E_high_missingness,3,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__E_high_missingness__seed3.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
E_high_missingness,4,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__E_high_missingness__seed4.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
E_high_missingness,5,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__E_high_missingness__seed5.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
E_high_missingness,6,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__E_high_missingness__seed6.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
E_high_missingness,7,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__E_high_missingness__seed7.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
E_high_missingness,8,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__E_high_missingness__seed8.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
E_high_missingness,9,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__E_high_missingness__seed9.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
